,cars.car_name,cars.make,cars.model,cars.year,cars.distance,score,score.dist,X,cars.price_daily,cars.car_photo,cars.price_weekly,cars.dedicated_parking,cars.price_hourly,cars.longitude,cars.latitude,cars.timezone,cars.carkit_enabled,cars.car_id,distance.factor,zero_sixty_norm,is_performance,is_tuner,is_exotic,is_coupe,is_convertible,is_hatchback,is_awd,is_rwd
11,TeslaP85D,tesla,model-s,2016,1.885795589,0.537391304,0.322434783,548,300,https://www.getaround.com/images_server/blob/AMIfv955m5z4OvXRpbbwWw5G9WAPjg81cI_A5pQzVO3Lz6-ZhHmOAGdhGF31ARxEq-e_aCt17fKwm_pdHZbVEENYohyPoSvzfoguNXBE-D-ztGmf-XpdP0u_Ha99_OPQdnKD68TUDqCYQV5rCy1n6MIWwf89epYhlQ,1800,TRUE,30,-122.455021,37.74589,America/Los_Angeles,TRUE,1.00006E+14,0.6,0.317391304,0.04,0,0.1,0,0,0,0,0.08
12,AwesomePorsche,porsche,boxster,2014,2.769435351,0.537391304,0.214956522,1064,250,https://www.getaround.com/images_server/blob/AMIfv94NxTmzE11k4fxqmgwMEEIdUemfZGoT-0WaDY4RLTBopcZ0f3EFTvHEPvlTaDuEN_Nviy3kL5X98iWMPF2MnZR1Mkg2fpGiD8OROISV3lh_OaJ4oQHJvnU6V6NbUa_seiKO0v06Bsxw90najxq4prVdVhhP7Q,1500,TRUE,25,-122.461807,37.734234,America/Los_Angeles,TRUE,1.00005E+14,0.4,0.317391304,0.04,0,0,0,0.1,0,0,0.08
13,TeslaTess,tesla,model-s,2016,2.915980077,0.537391304,0.214956522,1106,220,https://www.getaround.com/images_server/blob/AMIfv97la3gh3YiScLtQfcFO-Bo9ZcD_5uHkwFv5zHzbrAk9Zk769Z47vijEcc28M2n1sCC1bY_vaPgEFoUInaGTRzQgyrtIcBByhgqD1x7XZ4wrm72xK9kDgB9W44B4KMXabwrU-bq1f-3SBASNr6uZrOkQT67c7w,1320,TRUE,22,-122.3935271,37.7856983,America/Los_Angeles,TRUE,1.00006E+14,0.4,0.317391304,0.04,0,0.1,0,0,0,0,0.08
14,Brynhildr,porsche,boxster,2014,2.99179736,0.537391304,0.214956522,1123,200,https://www.getaround.com/images_server/blob/AMIfv948veApstNumqjwjYSHKI4JpvuxEa97jpV04MDBTS5vXpk_52hMrGcp3HPFVgZrRaStxxs9qJkOJ62z_JiGbdgk1Hf7nteI18VdIZxRIOShubMLGLVtsTNmloR_mKPX63Pe1d3chfsPW1C4TlFiwYBT6nx6Ow,0,TRUE,20,-122.3949468,37.7911452,America/Los_Angeles,TRUE,1.00005E+14,0.4,0.317391304,0.04,0,0,0,0.1,0,0,0.08
15,pandomobile,bmw,z4,2009,0.941465479,0.533043478,0.426434783,167,150,https://www.getaround.com/images_server/blob/AMIfv955aJqefKkDtC53ndgLJQooafXubnhH9ESmh58GNDM3CZNaEooqhrGaXlIR9jqqbROfFRVhGSRPzZXy_cBxO58YOvUpcfvud04cpA99v-3ggQLhNzC9pIr1TNIPjD-ForTsNIcYxGg5uCubVnuki5vcneJzkg,900,TRUE,15,-122.4334245,37.7825398,America/Los_Angeles,TRUE,1.00006E+14,0.8,0.313043478,0.04,0,0,0,0.1,0,0,0.08
16,4doormissionmini,mini,cooper,2015,1.041175844,0.531304348,0.318782609,203,120,https://www.getaround.com/images_server/blob/AMIfv95TXZ2LjIF2uf0EeNDHtwb-XvdYTNQtGQjf9LQo2dLOcb3lV9xJFAt975U3sVC8dOKbEUoP8qdfGbhLAZ0-lpb0f1ERdtjwFJ8pHVJkkWYjkwfr-hgDP7bfhZ3T3Ppi0kQiTH4D2QGnVBpm3us8jLr3NQC8_Q,720,FALSE,12,-122.4267198,37.7651867,America/Los_Angeles,TRUE,1.00005E+14,0.6,0.291304348,0.04,0.16,0,0,0,0.04,0,0
17,TheCoolMini,mini,cooper,2015,1.97881585,0.531304348,0.318782609,592,95,https://www.getaround.com/images_server/blob/AMIfv97Y0lvgk57pV_kri64ucxj4m7xXNiO_UPxi4lwMyhG7MP-BwDoTUu-rBps6sec7yw5HqFbPz9eR8673BZmSlNeyFNWlI2_pCD_bx5D9pOFcGNq4UKXhZieVO-xCfKQDCPMGQgbYhy5gVIi1b7w5XibIC-ylOQ,570,TRUE,9.5,-122.4218175,37.7944204,America/Los_Angeles,TRUE,1.00005E+14,0.6,0.291304348,0.04,0.16,0,0,0,0.04,0,0
18,sasuke,mini,cooper,2015,2.265552797,0.531304348,0.212521739,793,95,https://www.getaround.com/images_server/blob/AMIfv96eNxRMHt66DH9_ixmm_ZIGHN4cW5I-srAHst9dPKmt1gRRFiFWeswIwEsGY1587LbgHR_GZQ1wAPL35wP7PhmFrLevcuooMn9CAZIG_ybtlWU2-su__kEvAFKVoaYvf6mn6qmOFMd6S3s-ezYTr5H8o-XDjQ,570,FALSE,9.5,-122.402585,37.774624,America/Los_Angeles,TRUE,1.00006E+14,0.4,0.291304348,0.04,0.16,0,0,0,0.04,0,0
19,graham,mini,cooper,2015,2.593067953,0.531304348,0.212521739,992,120,https://www.getaround.com/images_server/blob/AMIfv97_De8Fv2vYl9WYGGvMFT4h8h12eUZW1zrA8MXhv4Af8mRsy5Gr9wNluJ6U2n19rydGing6OEOYzAyabv8vrrx9ze6QnKcEkDWYCrhuAVI4Hu3EBYfjFr8noGVLv2aTRFicGRv53mwtxZs32M5U_Nd0HNI1uw,0,TRUE,12,-122.399353,37.7846952,America/Los_Angeles,TRUE,1.00005E+14,0.4,0.291304348,0.04,0.16,0,0,0,0.04,0,0
20,Archie,tesla,model-s,2015,2.887406884,0.525217391,0.210086957,1099,250,https://www.getaround.com/images_server/blob/AMIfv95Cn3bd8w63WbH0Ugrsw4spexG8P_ssD9rE8Zz7I7bvvmRpRw0waW2kU8wdcrWfdVTx57OKAurjrilDV8bTXqchdBsm3bsTi-_n_ELxxxHNyIioCL_DM240g4TGzs_yehEXeDH7SZLAStRxpxj1i9pcPXGRJA,1500,TRUE,25,-122.3940764,37.7856862,America/Los_Angeles,TRUE,1.00005E+14,0.4,0.365217391,0.04,0,0.1,0,0,0,0.02,0
21,whitetesla,tesla,model-s,2015,3.653197271,0.525217391,0.210086957,1212,190,https://www.getaround.com/images_server/blob/AMIfv97BYMjDrDcyfcJIuLcYWoP0uAZuN7o1014H81WTLs2Y9tFxQhWF6oCCTHbAIX_7FMBmhQ9i7b6Bv9V37toWhc2igttEfsHM2AxkXF3LbhM8Pw8di6jlxAHV7hMm4Eciuqa46QSTj3XrFFSo_a6K_8tUtq7a4g,1140,TRUE,19,-122.408991,37.726636,America/Los_Angeles,TRUE,1.00006E+14,0.4,0.365217391,0.04,0,0.1,0,0,0,0.02,0
22,ModelS_P85D,tesla,model-s,2014,1.988880907,0.52,0.312,601,305,https://www.getaround.com/images_server/blob/AMIfv94YEjj_DrySkANfWL8lAQqwMKRX8_rRFoWh-z4qoSWnmPo4uvNUn1q6MjuDZ-kzWzjZVJMUxqFgKMj-Yn9f7oIrFgw7PMruqkQIWwNv6nVpxrAQXZaz6xDOaXasr_CuCuFPaJywhOVO0_IYjbyoslHkDqr4WA,2200,TRUE,40,-122.4076151,37.7741361,America/Los_Angeles,TRUE,1.00004E+14,0.6,0.3,0.04,0,0.1,0,0,0,0,0.08
23,Tesla-Autopilot-Pearl,tesla,model-s,2014,2.124129151,0.52,0.208,677,260,https://www.getaround.com/images_server/blob/AMIfv97RuT1ykUFkvNhFDfz4IdMTUZ3aTCwvlbtEy7fHozWV7AUPPHLjVdPGAwagePz0iCn65KZIfdzj5KsGIoyc0ms7Aknedc00uL3eZyd-dknEmZr2Pf_kbKGngIdulne3aiEMYkW1z1gEqCSbZwS9QGUH03jyYw,0,TRUE,32.5,-122.430325,37.742917,America/Los_Angeles,TRUE,1.00005E+14,0.4,0.3,0.04,0,0.1,0,0,0,0,0.08
24,TeslaS,tesla,model-s,2013,2.176094515,0.52,0.208,707,192,https://www.getaround.com/images_server/blob/AMIfv96gz6oPxdYSqvZyVBd9rZA1Em-9IpTndEiMlnmFR2xFjmxAXmVy1IeJOsQRiLcY0CnCDzirVrLxGbK01v7DlzLHiJNEX7kDyVCqLu3pklxiT7Gk7NFquxqbSC_bv2TpWniI-3jsZ6m8W4dGbpzVABV35OdPhQ,1152,TRUE,24,-122.4157485,37.794003,America/Los_Angeles,TRUE,1.00004E+14,0.4,0.3,0.04,0,0.1,0,0,0,0,0.08
25,teslamodels85,tesla,model-s,2013,2.259728607,0.52,0.208,780,320,https://www.getaround.com/images_server/blob/AMIfv94e3AT_TdMhcE_-bO5I6kSJ9n7LM59zWnkumGFwGUiqDilMa3A76bniShCH2uVdIMzDDF_3tSP0IkQ3bNDJaYC3qZR92WwRNzAWyYT0NhmP6o2Y7jgo-dbH5zw9t91ECXJDtVVLYveLHmduvpxwzvimpG5dYA,0,TRUE,32,-122.4052064,37.7832966,America/Los_Angeles,TRUE,1.00004E+14,0.4,0.3,0.04,0,0.1,0,0,0,0,0.08
26,electricfox,tesla,model-s,2014,2.548727321,0.52,0.208,966,250,https://www.getaround.com/images_server/blob/AMIfv96tMaA9uUsQD6PiBRDQXVckHCi3_tlR3Ddd5S8RZ9Tqt27z6UAR2NKnWB_lscHHeuuLQJL4iCD5YKvbnovNYzSkVrZ7DolgDZiDsuscXGR66tYqfZ7EPvrS2t4bFVcwwznT9mZLf8A2IicH2BsIb1tED106OA,1500,TRUE,25,-122.4050439,37.7921445,America/Los_Angeles,TRUE,1.00004E+14,0.4,0.3,0.04,0,0.1,0,0,0,0,0.08
27,ModelSTesla,tesla,model-s,2013,2.555095958,0.52,0.208,968,229,https://www.getaround.com/images_server/blob/AMIfv96csmbaRbgIINb0Lbpv2-5nDc2ffgnj5xJHN1FtC8DP-IuEOkSfmPwI5uHW_2C8r_jbfFxanFls7zneOS_GDJ8cxykfdGeFdjw7Dem-zzGum100IwlXbckGlNV0nNqg0FxNZN0YatpcZOxIP8fgjSuyRngWEA,1200,FALSE,29,-122.3986615,37.7623216,America/Los_Angeles,TRUE,1.00004E+14,0.4,0.3,0.04,0,0.1,0,0,0,0,0.08
28,sin-oil,tesla,model-s,2013,2.830270522,0.52,0.208,1086,200,https://www.getaround.com/images_server/blob/AMIfv96pL4JcpoFeoIwpON8-l83AeqwvwZaobqwy1KDwzZsb4uxHpwGQwmj3Ai8-Ar8p8sRnG3QS0zAfRYIgrgJWpv2FrragfTAJf6z8aJ2XBYLs6zKDb_9QBhtpQivHTtjyszmiyRyj8sevqatVGgaZncjaMRIAUQ,1200,TRUE,40,-122.3937516,37.7820308,America/Los_Angeles,TRUE,1.00005E+14,0.4,0.3,0.04,0,0.1,0,0,0,0,0.08
29,Tesla-SF,tesla,model-s,2014,2.90546147,0.52,0.208,1104,350,https://www.getaround.com/images_server/blob/AMIfv97DVCs9T64oaysKIOeeau71jFr4uLK-rxk8HGUZKcOfV2ZYJIvkQy49JhmLaC3ZYLmqibYqc-yBW_wLt3QFOcxlrDlcDV7XkTK3SpS7Web5jepL1T5CjlbZzZFsNTm3ahFXJFDerusksh8lH42Kq2CbNFHrnw,2100,TRUE,35,-122.3938675,37.7860003,America/Los_Angeles,TRUE,1.00006E+14,0.4,0.3,0.04,0,0.1,0,0,0,0,0.08
30,911Convertable,porsche,911,2007,3.071800311,0.515652174,0.20626087,1144,230,https://www.getaround.com/images_server/blob/AMIfv97g5c0nLhHXOzS0YdHSiAy-mafjrG-61DLreqkNDhBSTPcVNJvAahH-SrNfOII_KWSrKmAxnFhRDOki6Y8EOc9yjuNV45f4KvJXePDEP5D8E7KTpuBTN31SK5KSSdwSX5_ffQvkSkoHF-EQVj-s7EgnZBFUZQ,1380,FALSE,23,-122.3911279,37.7870882,America/Los_Angeles,TRUE,1.00005E+14,0.4,0.395652174,0.04,0,0,0.06,0,0,0.02,0
31,ZachsZ4,bmw,z4,2006,1.495292421,0.506956522,0.304173913,372,180,https://www.getaround.com/images_server/blob/AMIfv95dBUAevzSVwB6gSGbsQxWkqItCm_3BkKmpDeTHhCOAJZcpLajO-zwuWXoElxKtZP0LtqB-NUmhQb1K-p7vvT6GueZJhNkn4hN5uht23ITyvQ3OLZKK4MMtZATmkSAtI6hwXuBz12vMY6uH5rGhEMrQog8FYA,1080,FALSE,18,-122.470456,37.776939,America/Los_Angeles,TRUE,1.00005E+14,0.6,0.286956522,0.04,0,0,0,0.1,0,0,0.08
32,Hollie,bmw,z4,2006,2.05939375,0.506956522,0.202782609,653,180,https://www.getaround.com/images_server/blob/AMIfv96CKAwjKipgUKdgYKVctIKO2_K1ngK7Pbmai857CNetqdCG6TwJ_5XvT3I39bySq1cQHbxGUDabb9GIwspQtJnxDWXwxmuGIHpr9OJGJfxpmC1FtW5NU0hNuPDyspg3zgOx-Ubvuf4k_fqMEb4R_N8CPbI1yg,1080,TRUE,18,-122.4110379,37.7863323,America/Los_Angeles,TRUE,1.00005E+14,0.4,0.286956522,0.04,0,0,0,0.1,0,0,0.08
33,grace,bmw,z4,2007,2.362732745,0.506956522,0.202782609,857,150,https://www.getaround.com/images_server/blob/AMIfv967xjPZg0RyzrhFqRR2su6ppXe8KxNLS6IK8bbwvDRWU8Oz4lIFo4koAqL7P7JT8z4WYjiPjLjCJ0xLUwpwiWETdlsAYxurOLFMwQ420k6VlXHrweAWXgPnRIglIMcBqky9sGgEMLgTzHvxCUKhArCSOA-SOQ,900,FALSE,15,-122.4023462,37.7622284,America/Los_Angeles,TRUE,1.00005E+14,0.4,0.286956522,0.04,0,0,0,0.1,0,0,0.08
34,halle,bmw,4-series,2014,0.689476529,0.488695652,0.390956522,96,150,https://www.getaround.com/images_server/blob/AMIfv95u7Jdp7vsPY6S6neSgpfQDN-GWnq-307qO7Uyh75rP_6iZrjaO6_eg2EG-krLHvmT3XVqmRsLT2VxpWf9A5KVIMfGGeacOpDUNw05MZHZU8NdWTWlVpqksIlgE1UmsjkFE8tht8Ol-IKfQt-HDXdujKnTAYw,900,FALSE,15,-122.444032,37.761743,America/Los_Angeles,TRUE,1.00005E+14,0.8,0.308695652,0.04,0,0,0.06,0,0,0,0.08
35,SvenRedBMW_428,bmw,4-series,2015,1.590958258,0.488695652,0.293217391,400,150,https://www.getaround.com/images_server/blob/AMIfv95QU1hCN0Q0-MI4bj7_VZMG_9HibemHBiq_gPEYnv10putDoGXNiau6m-3xb7pV-HUf7ld9NaEGqIsrDkA7hnLycXBrLu-ghkPEaWdO9J2yy6Saw_lQV4Hq8nhky9m5O50Vg4vqO3DOakkUs6RG30zcEWaM4g,900,FALSE,15,-122.4444033,37.7487023,America/Los_Angeles,TRUE,1.00005E+14,0.6,0.308695652,0.04,0,0,0.06,0,0,0,0.08
36,Ramsins435,bmw,4-series,2014,2.186909247,0.488695652,0.195478261,715,200,https://www.getaround.com/images_server/blob/AMIfv94-TeGCK6ecQI8BWtuA33vz6Q0JpDdfcjcT5WKfowhHBEUmoizwHTHWFdaEoDHRoEz-Wj-RQTeRh710a5ZiT8ds2tW59Zsbi870_2MUQBnh9Dud7YRAmoOdmimg_MTfKFtfIZeR1GCWFxyfh-e3GY5mN4rYqg,0,TRUE,20,-122.4099528,37.7885014,America/Los_Angeles,TRUE,1.00005E+14,0.4,0.308695652,0.04,0,0,0.06,0,0,0,0.08
37,bmw428icoupe-marina-sf,bmw,4-series,2014,2.379333302,0.488695652,0.195478261,867,120,https://www.getaround.com/images_server/blob/AMIfv96ZWmO-s-4o7WFMhuVnN5EvyWK_LlezscE2626epwytsn7lTSbHV_a3beuTEC-c1thBpb_xjNjP9WJmoz6irvUjcEgjHFMZ-rufuCeTbX7fFiQa1YFWEp4q__NRzw01uoE3fgFYgDN2vFuOGU8ahSbHTT361w,720,FALSE,12,-122.437659,37.805791,America/Los_Angeles,TRUE,1.00006E+14,0.4,0.308695652,0.04,0,0,0.06,0,0,0,0.08
38,daves435idroptop,bmw,4-series,2015,2.40209978,0.488695652,0.195478261,877,180,https://www.getaround.com/images_server/blob/AMIfv95PcyIdQbb28adXTPC7mA4Ta1q3wCnFGizMa5NO7I5qVvezXPyzr5TVW7qLLmst16BMQElyU6oHUUftOj-PnmIqfRfb5mIu4lV2yUWr-gA39Ak-HIWb3mZzIVFXkbCH0LW7DVwtILJkhz0C9aucXTsNOYrdhg,1080,TRUE,18,-122.4064862,37.789992,America/Los_Angeles,TRUE,1.00004E+14,0.4,0.308695652,0.04,0,0,0.06,0,0,0,0.08
39,bmwscorpio,bmw,4-series,2015,2.720795806,0.488695652,0.195478261,1046,160,https://www.getaround.com/images_server/blob/AMIfv97U1WQnGbGXGnwwZoOm3RHNfUEu5O2ktTZ07-bdPKSTli49jAggot8DoPyTASEmsm-Y1JFHfFTREae9E23dZTGHdZVgT5Gs8tyM6tSEhJbfZkgTUscrHeRS68RB_QMSSkd7fw4cuQjKztz1Rh-j0FrsCO919g,960,FALSE,16,-122.3940896,37.7718101,America/Los_Angeles,TRUE,1.00005E+14,0.4,0.308695652,0.04,0,0,0.06,0,0,0,0.08
40,earlybird,fiat,500,2013,0.521249105,0.487826087,0.39026087,68,100,https://www.getaround.com/images_server/blob/AMIfv97EtjvSBPpbhGY2dY8Xvjr2bt8lfHpT9eMAd7_wz9xkK3G_WTl5Im2KvrXmD4ItMhEflrpiAUZEBPCbcJ4uIFGB8Pc_2dhCtLCkWqhGSfXdyh7nr1zYm9yo9FpbtECr2ko6RXBJCeNniBt27HJPCVtAnRizjg,0,FALSE,10,-122.4532346,37.7701842,America/Los_Angeles,TRUE,1.00004E+14,0.8,0.247826087,0.04,0.16,0,0,0,0.04,0,0
41,Fiat500cLoungeConvertible,fiat,500,2013,1.229935558,0.487826087,0.292695652,275,72.5,https://www.getaround.com/images_server/blob/AMIfv95GZTx0p-g50smLKdeVPD8cs8KWzVMnhl0W-4LiD4ltf48C7eG0E6tx-1arzhUE3_dSJ4sHNKnQyHRIheqWLx_8aYtlxZ_0WL4NvvJuHEguZFlBH7hqRuZ0Sc3d4V8HZRgDi9zNsQNKvX3kX3jTaJmqV3F1yA,0,FALSE,7.25,-122.4373732,37.7887522,America/Los_Angeles,TRUE,1.00005E+14,0.6,0.247826087,0.04,0.16,0,0,0,0.04,0,0
42,flylo2,fiat,500,2013,1.231811504,0.487826087,0.292695652,276,80,https://www.getaround.com/images_server/blob/AMIfv96s3gIwYNzCQTWb-UDzfrv2dTG6maspmEwjRnJUsyj7Piy6dX1zlVZxO8I3FPpIMc17LEbCFEDZFdhpyYjJkuBSElbT_uGArQPqk6sYBx4RAVwRDZbJNcMjItu0AcfZsmf-pBwN1YvSzWFXTY-DruHsPOfAkA,480,TRUE,8,-122.449148,37.789051,America/Los_Angeles,TRUE,1.00004E+14,0.6,0.247826087,0.04,0.16,0,0,0,0.04,0,0
43,2013RhinoAbarth,fiat,500,2013,1.545264349,0.487826087,0.292695652,385,100,https://www.getaround.com/images_server/blob/AMIfv9563kLONMM3D0kIdEwLBt9AYQZIWa0RJ1c-S_jLDIQULdW-G-UBnavfUo9mt1n-E5NtRi27fjOPCJxTgS9bz1qD8dYjEZKrw_aXNgbGf2QZ8Hzvk-TTTfLakt_58xypWwh_xEHgZghmf4I0uYecdviD9MlISQ,600,FALSE,10,-122.46604,37.7578125,America/Los_Angeles,TRUE,1.00006E+14,0.6,0.247826087,0.04,0.16,0,0,0,0.04,0,0
44,RedVelvetCupcake,fiat,500,2013,1.606721703,0.487826087,0.292695652,405,120,https://www.getaround.com/images_server/blob/AMIfv97gO3lq5DCIieD_WMKfuzPsg1u6cakJ0eYHmVyw-WpvEWxt5-1fgtQXD7x6cxuiZ_8JEsZGV5w9T5hWTMdxYUxuNzpAR_d11dD8HJnmVZLN1i6QWZxIjIXr6G-Pkhj9YDHK0fc_ScvPoNKPSujtZuEkyZFwAQ,720,TRUE,12,-122.434251,37.7936819,America/Los_Angeles,TRUE,1.00006E+14,0.6,0.247826087,0.04,0.16,0,0,0,0.04,0,0
45,queenb,fiat,500,2013,1.749148659,0.487826087,0.292695652,476,75,https://www.getaround.com/images_server/blob/AMIfv94Vk0XzEvcW1suxBseMHUQw8dwQfG9EuTatuLDYbEnNSEXBKyMKnVLifluj3bqtuusqBfSb0aZxTfIlN0lk6HcqSuMPVPoAE-PjhvJEkqP826qUnZb4uZGXWvxIk48HX47eG0oVX3_Vo70yxXEKCitZTcP9HA,450,TRUE,7.5,-122.418092,37.756735,America/Los_Angeles,TRUE,1.00006E+14,0.6,0.247826087,0.04,0.16,0,0,0,0.04,0,0
46,fabfiat,fiat,500,2013,2.287795162,0.487826087,0.195130435,813,70,https://www.getaround.com/images_server/blob/AMIfv95nCOvW-dd2d-EhJn6iCIIBgILTkD_SBxXCah4ecqKOAz4r3Zb5ZKehUlLS_uJ_D91_juBSBF_fkrVh5H991K4jR6QelqgIPgl7o3x6L38OlJYxmhwVRRX4ZvzLiqWOLFtXXuW-KO-ScKoKy529E-qW0DTz5Q,420,TRUE,7,-122.4086858,37.7896478,America/Los_Angeles,TRUE,1.00006E+14,0.4,0.247826087,0.04,0.16,0,0,0,0.04,0,0
47,thill94703,fiat,500,2013,11.14040179,0.487826087,0.097565217,1370,87.5,https://www.getaround.com/images_server/blob/AMIfv969dvg6HRtqBKC0zons6ODP-sQ9isVuAw_52xHtiIYpwbluNIEMjhscyRCxGP4ZSkjzxizVl8S0w2KcuNLCXVVz2DwAVD5F3jaRndWPcw2xxfqRgy266YvAwy9tGaejxKXEN1S3NIeF6U0aYmzvfrGCHg5xrA,525,TRUE,8.75,-122.267783,37.853115,America/Los_Angeles,TRUE,1.00004E+14,0.2,0.247826087,0.04,0.16,0,0,0,0.04,0,0
