Top 10 Vehicles by Make/Model/Year,,,,
,cars.year,cars.make,cars.model,count
111,2016,tesla,model-s,3
112,2016,toyota,corolla,3
113,2016,toyota,rav4,3
114,2016,volkswagen,jetta,3
115,2003,bmw,3-series,2
116,2005,bmw,3-series,2
117,2005,honda,civic,2
118,2005,honda,cr-v,2
119,2005,toyota,corolla,2
120,2005,volkswagen,jetta,2
121,2006,audi,a4,2
122,2006,bmw,z4,2
123,2006,chevrolet,colorado,2
124,2006,ford,escape-hybrid,2
125,2006,ford,ranger,2
126,2006,honda,cr-v,2
127,2006,mercedes-benz,slk-class,2
128,2006,toyota,camry,2
129,2006,toyota,tacoma,2
130,2007,honda,fit,2
131,2007,toyota,camry,2
132,2007,toyota,camry-hybrid,2
133,2007,toyota,corolla,2
134,2007,volkswagen,jetta,2
135,2008,audi,a4,2
136,2009,ford,escape-hybrid,2
137,2009,honda,accord,2
138,2009,nissan,altima-hybrid,2
139,2009,nissan,versa,2
140,2009,toyota,camry,2
141,2010,audi,a3,2
142,2010,ford,focus,2
143,2010,mini,cooper,2
144,2010,toyota,rav4,2
145,2010,toyota,yaris,2
146,2010,volvo,s40,2
147,2011,audi,q5,2
148,2011,bmw,1-series,2
149,2011,chevrolet,malibu,2
150,2011,ford,fiesta,2
151,2011,honda,fit,2
152,2011,hyundai,elantra,2
153,2011,jeep,grand-cherokee,2
154,2011,subaru,impreza,2
155,2011,toyota,tacoma,2
156,2011,volkswagen,jetta,2
157,2012,bmw,3-series,2
158,2012,honda,accord,2
159,2012,kia,forte,2
160,2012,mazda,6,2
161,2012,mini,cooper-countryman,2
162,2012,nissan,sentra,2
163,2012,scion,iq,2
164,2012,subaru,outback,2
165,2012,toyota,prius-v,2
166,2012,volkswagen,jetta,2
167,2013,chevrolet,volt,2
168,2013,ford,escape,2
169,2013,ford,explorer,2
170,2013,honda,accord,2
171,2013,honda,cr-v,2
172,2013,hyundai,elantra,2
173,2013,hyundai,elantra-gt,2
174,2013,lexus,ct-200h,2
175,2013,nissan,altima,2
176,2013,toyota,camry-hybrid,2
177,2013,toyota,sienna,2
178,2013,toyota,tacoma,2
179,2013,volkswagen,passat,2
180,2013,volkswagen,tiguan,2
181,2014,chevrolet,cruze,2
182,2014,chevrolet,sonic,2
183,2014,chevrolet,volt,2
184,2014,fiat,500l,2
185,2014,honda,accord,2
186,2014,jeep,wrangler,2
187,2014,lexus,ct-200h,2
188,2014,mazda,2,2
189,2014,mazda,3,2
190,2014,mazda,cx-5,2
191,2014,mercedes-benz,c-class,2
192,2014,mercedes-benz,cla-class,2
193,2014,mercedes-benz,e-class,2
194,2014,nissan,versa,2
195,2014,porsche,boxster,2
196,2014,toyota,camry,2
197,2014,toyota,corolla,2
198,2014,toyota,rav4,2
199,2014,volkswagen,jetta,2
200,2015,acura,ilx,2
201,2015,ford,fiesta,2
202,2015,ford,focus,2
203,2015,ford,mustang,2
204,2015,infiniti,q50,2
205,2015,mercedes-benz,c-class,2
206,2015,nissan,altima,2
207,2015,nissan,rogue,2
208,2015,nissan,versa,2
209,2015,subaru,forester,2
210,2015,tesla,model-s,2
211,2015,toyota,camry,2
212,2015,toyota,camry-hybrid,2
213,2015,volkswagen,golf-gti,2
214,2016,bmw,x1,2
215,2016,ford,c-max-energi,2
216,2016,ford,fusion,2
217,2016,ford,fusion-hybrid,2
218,2016,ford,transit-connect,2
219,2016,honda,accord,2
220,2016,honda,hr-v,2
221,2016,lexus,es-300h,2
222,2016,mazda,cx-5,2
223,2016,subaru,forester,2
224,2016,subaru,impreza,2
225,2016,toyota,camry,2
226,2016,volkswagen,golf-gti,2
227,2016,volkswagen,tiguan,2
228,2002,toyota,highlander,1
229,2003,ford,explorer-sport-trac,1
230,2003,toyota,highlander,1
231,2004,bmw,3-series,1
232,2004,bmw,5-series,1
233,2004,bmw,z4,1
234,2004,ford,f-150-heritage,1
235,2004,honda,civic,1
236,2004,honda,element,1
237,2004,lexus,es-330,1
238,2004,nissan,maxima,1
239,2004,toyota,camry,1
240,2004,toyota,highlander,1
241,2004,toyota,sienna,1
242,2004,toyota,tacoma,1
243,2004,volkswagen,new-beetle,1
244,2004,volvo,s60,1
245,2004,volvo,s80,1
246,2005,bmw,x3,1
247,2005,chevrolet,silverado-1500,1
248,2005,dodge,caravan,1
249,2005,dodge,grand-caravan,1
250,2005,dodge,ram-pickup-1500,1
251,2005,ford,escape,1
252,2005,ford,freestyle,1
253,2005,gmc,savana,1
254,2005,land-rover,range-rover,1
255,2005,mazda,3,1
256,2005,mazda,6,1
257,2005,mercedes-benz,c-class,1
258,2005,mercedes-benz,clk-class,1
259,2005,mini,cooper,1
260,2005,nissan,sentra,1
261,2005,nissan,titan,1
262,2005,toyota,matrix,1
263,2005,toyota,sienna,1
264,2005,toyota,tundra,1
265,2005,volkswagen,gti,1
266,2005,volkswagen,new-beetle,1
267,2006,acura,mdx,1
268,2006,acura,tl,1
269,2006,acura,tsx,1
270,2006,audi,s4,1
271,2006,bmw,3-series,1
272,2006,dodge,dakota,1
273,2006,dodge,ram-pickup-1500,1
274,2006,ford,fusion,1
275,2006,honda,odyssey,1
276,2006,hyundai,sonata,1
277,2006,infiniti,fx45,1
278,2006,kia,sedona,1
279,2006,kia,spectra,1
280,2006,mazda,3,1
281,2006,mazda,mpv,1
282,2006,mazda,mx-5-miata,1
283,2006,mitsubishi,eclipse,1
284,2006,nissan,350z,1
285,2006,nissan,xterra,1
286,2006,scion,xa,1
287,2006,subaru,impreza,1
288,2006,suzuki,reno,1
289,2006,toyota,matrix,1
290,2006,volvo,c70,1
291,2006,volvo,s40,1
292,2007,acura,rdx,1
293,2007,bmw,z4,1
294,2007,chevrolet,aveo,1
295,2007,chevrolet,colorado,1
296,2007,chrysler,sebring,1
297,2007,dodge,grand-caravan,1
298,2007,dodge,ram-pickup-1500,1
299,2007,honda,civic,1
300,2007,honda,ridgeline,1
301,2007,hyundai,tucson,1
302,2007,jeep,grand-cherokee,1
303,2007,land-rover,range-rover-sport,1
304,2007,mazda,3,1
305,2007,nissan,frontier,1
306,2007,nissan,xterra,1
307,2007,porsche,911,1
308,2007,scion,tc,1
309,2007,subaru,impreza,1
310,2007,subaru,legacy,1
311,2007,toyota,highlander-hybrid,1
312,2007,toyota,rav4,1
313,2007,toyota,sienna,1
314,2007,toyota,yaris,1
315,2007,volkswagen,new-beetle,1
316,2008,acura,rdx,1
317,2008,bmw,1-series,1
318,2008,chevrolet,colorado,1
319,2008,ford,f-150,1
320,2008,ford,focus,1
321,2008,ford,ranger,1
322,2008,honda,fit,1
323,2008,honda,odyssey,1
324,2008,honda,ridgeline,1
325,2008,hyundai,tucson,1
326,2008,jeep,liberty,1
327,2008,lincoln,mkz,1
328,2008,mazda,5,1
329,2008,mazda,6,1
330,2008,mazda,mx-5-miata,1
331,2008,mercedes-benz,clk-class,1
332,2008,mercedes-benz,e-class,1
333,2008,mercury,mariner-hybrid,1
334,2008,mini,cooper,1
335,2008,mitsubishi,lancer,1
336,2008,mitsubishi,outlander,1
337,2008,nissan,quest,1
338,2008,nissan,rogue,1
339,2008,nissan,sentra,1
340,2008,nissan,versa,1
341,2008,scion,xd,1
342,2008,subaru,forester,1
343,2008,subaru,impreza,1
344,2008,subaru,legacy,1
345,2008,toyota,camry-hybrid,1
346,2008,toyota,corolla,1
347,2008,toyota,highlander,1
348,2008,toyota,rav4,1
349,2008,toyota,yaris,1
350,2008,volkswagen,gti,1
351,2008,volvo,c70,1
352,2009,acura,mdx,1
353,2009,bmw,1-series,1
354,2009,bmw,z4,1
355,2009,chevrolet,malibu-hybrid,1
356,2009,chrysler,pt-cruiser,1
357,2009,dodge,journey,1
358,2009,dodge,ram-pickup-1500,1
359,2009,ford,econoline-cargo,1
360,2009,ford,flex,1
361,2009,ford,focus,1
362,2009,honda,cr-v,1
363,2009,honda,odyssey,1
364,2009,jeep,grand-cherokee,1
365,2009,jeep,wrangler,1
366,2009,mercedes-benz,c-class,1
367,2009,mercury,milan,1
368,2009,mini,cooper-clubman,1
369,2009,mitsubishi,lancer,1
370,2009,nissan,altima,1
371,2009,nissan,rogue,1
372,2009,subaru,forester,1
373,2009,toyota,camry-hybrid,1
374,2009,toyota,matrix,1
375,2009,volkswagen,jetta,1
376,2009,volkswagen,rabbit,1
377,2009,volvo,xc70,1
378,2010,acura,tsx,1
379,2010,bmw,1-series,1
380,2010,bmw,3-series,1
381,2010,chrysler,town-and-country,1
382,2010,ford,e-series-van,1
383,2010,ford,edge,1
384,2010,ford,escape-hybrid,1
385,2010,ford,f-150,1
386,2010,ford,fusion,1
387,2010,ford,mustang,1
388,2010,honda,cr-v,1
389,2010,honda,element,1
390,2010,honda,insight,1
391,2010,honda,odyssey,1
392,2010,hyundai,elantra,1
393,2010,infiniti,fx35,1
394,2010,infiniti,g37-coupe,1
395,2010,infiniti,g37-sedan,1
396,2010,jeep,wrangler,1
397,2010,lexus,rx-350,1
398,2010,mercedes-benz,c-class,1
399,2010,nissan,370z,1
400,2010,nissan,altima,1
401,2010,nissan,murano,1
402,2010,nissan,versa,1
403,2010,scion,xd,1
404,2010,subaru,forester,1
405,2010,subaru,outback,1
406,2010,toyota,matrix,1
407,2010,volkswagen,gti,1
408,2010,volkswagen,jetta,1
409,2011,acura,tsx,1
410,2011,acura,tsx-sport-wagon,1
411,2011,bmw,5-series,1
412,2011,chevrolet,avalanche,1
413,2011,chevrolet,aveo,1
414,2011,chevrolet,equinox,1
415,2011,ford,escape-hybrid,1
416,2011,ford,focus,1
417,2011,ford,fusion,1
418,2011,ford,ranger,1
419,2011,gmc,sierra-1500,1
420,2011,honda,accord,1
421,2011,honda,element,1
422,2011,hyundai,santa-fe,1
423,2011,hyundai,sonata,1
424,2011,jeep,compass,1
425,2011,kia,optima,1
426,2011,kia,sorento,1
427,2011,lexus,ct-200h,1
428,2011,lexus,is-250,1
429,2011,mazda,2,1
430,2011,mazda,3,1
431,2011,mercedes-benz,glk-class,1
432,2011,mini,cooper-countryman,1
433,2011,nissan,sentra,1
434,2011,nissan,versa,1
435,2011,porsche,cayenne,1
436,2011,toyota,sienna,1
437,2011,volkswagen,cc,1
438,2011,volkswagen,gti,1
439,2011,volkswagen,tiguan,1
440,2011,volvo,s60,1
441,2012,audi,q5,1
442,2012,audi,s4,1
443,2012,bmw,x5,1
444,2012,chevrolet,equinox,1
445,2012,chevrolet,sonic,1
446,2012,ford,escape,1
447,2012,ford,expedition,1
448,2012,ford,transit-connect,1
449,2012,kia,optima,1
450,2012,kia,sportage,1
451,2012,land-rover,range-rover-sport,1
452,2012,lexus,ct-200h,1
453,2012,lexus,gx-460,1
454,2012,lexus,is-250-c,1
455,2012,mercedes-benz,e-class,1
456,2012,mercedes-benz,m-class,1
457,2012,porsche,cayenne,1
458,2012,subaru,impreza,1
459,2012,suzuki,sx4,1
460,2012,toyota,highlander,1
461,2012,toyota,highlander-hybrid,1
462,2012,toyota,matrix,1
463,2012,toyota,prius-plug-in,1
464,2012,volkswagen,golf,1
465,2012,volvo,s60,1
466,2013,acura,ilx,1
467,2013,bmw,5-series,1
468,2013,chevrolet,cruze,1
469,2013,chevrolet,sonic,1
470,2013,chrysler,200,1
471,2013,dodge,durango,1
472,2013,ford,fiesta,1
473,2013,ford,transit-connect,1
474,2013,honda,insight,1
475,2013,honda,odyssey,1
476,2013,hyundai,sonata,1
477,2013,hyundai,sonata-hybrid,1
478,2013,hyundai,veloster,1
479,2013,jeep,wrangler,1
480,2013,kia,rio,1
481,2013,kia,soul,1
482,2013,mazda,cx-5,1
483,2013,mazda,cx-9,1
484,2013,mazda,mazdaspeed-3,1
485,2013,mercedes-benz,c-class,1
486,2013,mini,cooper-coupe,1
487,2013,nissan,juke,1
488,2013,nissan,rogue,1
489,2013,nissan,versa,1
490,2013,porsche,boxster,1
491,2013,scion,tc,1
492,2013,toyota,4runner,1
493,2013,toyota,camry,1
494,2013,toyota,corolla,1
495,2013,toyota,prius-plug-in,1
496,2013,toyota,rav4,1
497,2013,toyota,venza,1
498,2013,volkswagen,golf,1
499,2013,volkswagen,jetta-hybrid,1
500,2014,acura,rlx,1
501,2014,audi,a4,1
502,2014,audi,a5,1
503,2014,audi,q5,1
504,2014,audi,s5,1
505,2014,audi,sq5,1
506,2014,bmw,x1,1
507,2014,buick,verano,1
508,2014,cadillac,xts,1
509,2014,chevrolet,spark,1
510,2014,ford,c-max-energi,1
511,2014,ford,f-150,1
512,2014,ford,fusion,1
513,2014,ford,fusion-hybrid,1
514,2014,gmc,acadia,1
515,2014,honda,ridgeline,1
516,2014,hyundai,elantra-gt,1
517,2014,hyundai,sonata,1
518,2014,infiniti,q50,1
519,2014,jeep,cherokee,1
520,2014,jeep,compass,1
521,2014,jeep,grand-cherokee,1
522,2014,kia,optima,1
523,2014,lexus,is-250,1
524,2014,mazda,5,1
525,2014,nissan,sentra,1
526,2014,porsche,panamera,1
527,2014,ram,cv-tradesman,1
528,2014,scion,iq,1
529,2014,subaru,impreza,1
530,2014,toyota,prius-plug-in,1
531,2014,toyota,rav4-ev,1
532,2014,toyota,tacoma,1
533,2014,toyota,tundra,1
534,2014,volkswagen,beetle,1
535,2014,volkswagen,beetle-convertible,1
536,2014,volvo,s60,1
537,2015,audi,a4,1
538,2015,audi,q5,1
539,2015,audi,s3,1
540,2015,bmw,5-series,1
541,2015,bmw,m4,1
542,2015,bmw,x4,1
543,2015,chevrolet,malibu,1
544,2015,chevrolet,volt,1
545,2015,chrysler,town-and-country,1
546,2015,ford,escape,1
547,2015,ford,fusion,1
548,2015,ford,fusion-energi,1
549,2015,gmc,terrain,1
550,2015,gmc,yukon-xl,1
551,2015,honda,accord,1
552,2015,honda,accord-hybrid,1
553,2015,honda,cr-v,1
554,2015,honda,odyssey,1
555,2015,hyundai,elantra,1
556,2015,hyundai,santa-fe-sport,1
557,2015,infiniti,qx50,1
558,2015,jeep,cherokee,1
559,2015,jeep,renegade,1
560,2015,jeep,wrangler,1
561,2015,kia,soul,1
562,2015,land-rover,range-rover-evoque,1
563,2015,lexus,es-300h,1
564,2015,lexus,is-250,1
565,2015,mercedes-benz,cla-class,1
566,2015,mercedes-benz,gla-class,1
567,2015,mini,cooper-countryman,1
568,2015,mitsubishi,mirage,1
569,2015,porsche,macan,1
570,2015,scion,iq,1
571,2015,toyota,prius-plug-in,1
572,2015,toyota,prius-v,1
573,2015,toyota,tacoma,1
574,2015,volkswagen,beetle,1
575,2015,volkswagen,golf,1
576,2015,volkswagen,golf-sportwagen,1
577,2015,volkswagen,passat,1
578,2016,audi,a3-sportback-e-tron,1
579,2016,audi,s3,1
580,2016,bmw,4-series-gran-coupe,1
581,2016,chevrolet,cruze,1
582,2016,chevrolet,cruze-limited,1
583,2016,chevrolet,malibu-limited,1
584,2016,chevrolet,spark,1
585,2016,fiat,500x,1
586,2016,ford,fiesta,1
587,2016,ford,fusion-energi,1
588,2016,hyundai,accent,1
589,2016,hyundai,elantra,1
590,2016,jeep,grand-cherokee,1
591,2016,jeep,patriot,1
592,2016,jeep,wrangler,1
593,2016,kia,forte,1
594,2016,land-rover,range-rover-sport,1
595,2016,lexus,rc-200t,1
596,2016,mazda,6,1
597,2016,mazda,mx-5-miata,1
598,2016,mini,cooper-countryman,1
599,2016,nissan,altima,1
600,2016,nissan,rogue,1
601,2016,subaru,crosstrek,1
602,2016,toyota,4runner,1
603,2016,toyota,prius-c,1
604,2016,toyota,sienna,1
605,2017,honda,fit,1
606,2017,hyundai,elantra,1
607,2017,mercedes-benz,e-class,1
608,2017,mercedes-benz,gla-class,1
609,2017,toyota,prius,1
610,2017,volkswagen,jetta,1
611,2017,volkswagen,passat,1
612,2017,volkswagen,tiguan,1
