"","styles.id","styles.name","styles.trim","styles.make.id","styles.make.name","styles.make.niceName","styles.model.id","styles.model.name","styles.model.niceName","styles.year.id","styles.year.year","styles.submodel.body","styles.submodel.modelName","styles.submodel.niceName","stylesCount","cars.make","cars.model","cars.year","cars.api","styles.submodel.fuel"
"13",100650681,"4dr SUV AWD (3.5L 6cyl 5A)","Base",200002038,"Acura","acura","Acura_MDX","MDX","mdx",100506940,2006,"SUV","MDX SUV","suv",5,"acura","mdx","2006","https://api.edmunds.com/api/vehicle/v2/acura/mdx/2006/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"14",100650682,"Touring 4dr SUV AWD (3.5L 6cyl 5A)","Touring",200002038,"Acura","acura","Acura_MDX","MDX","mdx",100506940,2006,"SUV","MDX SUV","suv",5,"acura","mdx","2006","https://api.edmunds.com/api/vehicle/v2/acura/mdx/2006/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"15",200701419,"Premium Package 4dr Sedan (2.4L 4cyl 6M)","Premium Package",200002038,"Acura","acura","Acura_ILX","ILX","ilx",200701415,2015,"Sedan","ILX Sedan","sedan",4,"acura","ilx","2015","https://api.edmunds.com/api/vehicle/v2/acura/ilx/2015/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"16",200701416,"Technology Package 4dr Sedan (2.0L 4cyl 5A)","Technology Package",200002038,"Acura","acura","Acura_ILX","ILX","ilx",200701415,2015,"Sedan","ILX Sedan","sedan",4,"acura","ilx","2015","https://api.edmunds.com/api/vehicle/v2/acura/ilx/2015/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"17",200701418,"Premium Package 4dr Sedan (2.0L 4cyl 5A)","Premium Package",200002038,"Acura","acura","Acura_ILX","ILX","ilx",200701415,2015,"Sedan","ILX Sedan","sedan",4,"acura","ilx","2015","https://api.edmunds.com/api/vehicle/v2/acura/ilx/2015/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"18",200701417,"4dr Sedan (2.0L 4cyl 5A)","Base",200002038,"Acura","acura","Acura_ILX","ILX","ilx",200701415,2015,"Sedan","ILX Sedan","sedan",4,"acura","ilx","2015","https://api.edmunds.com/api/vehicle/v2/acura/ilx/2015/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"19",101413824,"4dr Sedan (3.5L 6cyl 6A)","Base",200002038,"Acura","acura","Acura_RLX","RLX","rlx",100539511,2014,"Sedan","RLX Sedan","sedan",7,"acura","rlx","2014","https://api.edmunds.com/api/vehicle/v2/acura/rlx/2014/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"20",200463899,"Krell Audio Package 4dr Sedan (3.5L 6cyl 6A)","Krell Audio Package",200002038,"Acura","acura","Acura_RLX","RLX","rlx",100539511,2014,"Sedan","RLX Sedan","sedan",7,"acura","rlx","2014","https://api.edmunds.com/api/vehicle/v2/acura/rlx/2014/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"21",200463900,"Navigation 4dr Sedan (3.5L 6cyl 6A)","Navigation",200002038,"Acura","acura","Acura_RLX","RLX","rlx",100539511,2014,"Sedan","RLX Sedan","sedan",7,"acura","rlx","2014","https://api.edmunds.com/api/vehicle/v2/acura/rlx/2014/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"22",200713149,"Sport Hybrid SH-AWD w/Technology Package 4dr Sedan AWD (3.5L 6cyl gas/electric hybrid 7AM)","Sport Hybrid SH-AWD w/Technology Package",200002038,"Acura","acura","Acura_RLX","RLX","rlx",100539511,2014,"Sedan","RLX Hybrid","hybrid",7,"acura","rlx","2014","https://api.edmunds.com/api/vehicle/v2/acura/rlx/2014/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez","Hybrid"
"23",200463901,"Technology Package 4dr Sedan (3.5L 6cyl 6A)","Technology Package",200002038,"Acura","acura","Acura_RLX","RLX","rlx",100539511,2014,"Sedan","RLX Sedan","sedan",7,"acura","rlx","2014","https://api.edmunds.com/api/vehicle/v2/acura/rlx/2014/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"24",200463902,"Advance Package 4dr Sedan (3.5L 6cyl 6A)","Advance Package",200002038,"Acura","acura","Acura_RLX","RLX","rlx",100539511,2014,"Sedan","RLX Sedan","sedan",7,"acura","rlx","2014","https://api.edmunds.com/api/vehicle/v2/acura/rlx/2014/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"25",200713150,"Sport Hybrid SH-AWD w/Advance Package 4dr Sedan AWD (3.5L 6cyl gas/electric hybrid 7AM)","Sport Hybrid SH-AWD w/Advance Package",200002038,"Acura","acura","Acura_RLX","RLX","rlx",100539511,2014,"Sedan","RLX Hybrid","hybrid",7,"acura","rlx","2014","https://api.edmunds.com/api/vehicle/v2/acura/rlx/2014/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez","Hybrid"
"26",101369628,"Technology Package 4dr Sedan (2.4L 4cyl 6M)","Technology Package",200002038,"Acura","acura","Acura_TSX","TSX","tsx",100530509,2011,"Sedan","TSX Sedan","sedan",6,"acura","tsx","2011","https://api.edmunds.com/api/vehicle/v2/acura/tsx/2011/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"27",101254327,"4dr Sedan (2.4L 4cyl 6M)","Base",200002038,"Acura","acura","Acura_TSX","TSX","tsx",100530509,2011,"Sedan","TSX Sedan","sedan",6,"acura","tsx","2011","https://api.edmunds.com/api/vehicle/v2/acura/tsx/2011/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"28",101356398,"4dr Sedan (2.4L 4cyl 5A)","Base",200002038,"Acura","acura","Acura_TSX","TSX","tsx",100530509,2011,"Sedan","TSX Sedan","sedan",6,"acura","tsx","2011","https://api.edmunds.com/api/vehicle/v2/acura/tsx/2011/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"29",101369630,"4dr Sedan (3.5L 6cyl 5A)","Base",200002038,"Acura","acura","Acura_TSX","TSX","tsx",100530509,2011,"Sedan","TSX Sedan","sedan",6,"acura","tsx","2011","https://api.edmunds.com/api/vehicle/v2/acura/tsx/2011/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"30",101369629,"Technology Package 4dr Sedan (2.4L 4cyl 5A)","Technology Package",200002038,"Acura","acura","Acura_TSX","TSX","tsx",100530509,2011,"Sedan","TSX Sedan","sedan",6,"acura","tsx","2011","https://api.edmunds.com/api/vehicle/v2/acura/tsx/2011/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"31",101369631,"Technology Package 4dr Sedan (3.5L 6cyl 5A)","Technology Package",200002038,"Acura","acura","Acura_TSX","TSX","tsx",100530509,2011,"Sedan","TSX Sedan","sedan",6,"acura","tsx","2011","https://api.edmunds.com/api/vehicle/v2/acura/tsx/2011/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"32",101174002,"4dr Sedan (2.4L 4cyl 5A)","Base",200002038,"Acura","acura","Acura_TSX","TSX","tsx",100527369,2010,"Sedan","TSX Sedan","sedan",6,"acura","tsx","2010","https://api.edmunds.com/api/vehicle/v2/acura/tsx/2010/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"33",101174004,"Technology Package 4dr Sedan (2.4L 4cyl 5A)","Technology Package",200002038,"Acura","acura","Acura_TSX","TSX","tsx",100527369,2010,"Sedan","TSX Sedan","sedan",6,"acura","tsx","2010","https://api.edmunds.com/api/vehicle/v2/acura/tsx/2010/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"34",101174006,"Technology Package 4dr Sedan (3.5L 6cyl 5A)","Technology Package",200002038,"Acura","acura","Acura_TSX","TSX","tsx",100527369,2010,"Sedan","TSX Sedan","sedan",6,"acura","tsx","2010","https://api.edmunds.com/api/vehicle/v2/acura/tsx/2010/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"35",101174003,"Technology Package 4dr Sedan (2.4L 4cyl 6M)","Technology Package",200002038,"Acura","acura","Acura_TSX","TSX","tsx",100527369,2010,"Sedan","TSX Sedan","sedan",6,"acura","tsx","2010","https://api.edmunds.com/api/vehicle/v2/acura/tsx/2010/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"36",101174005,"4dr Sedan (3.5L 6cyl 5A)","Base",200002038,"Acura","acura","Acura_TSX","TSX","tsx",100527369,2010,"Sedan","TSX Sedan","sedan",6,"acura","tsx","2010","https://api.edmunds.com/api/vehicle/v2/acura/tsx/2010/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"37",101147985,"4dr Sedan (2.4L 4cyl 6M)","Base",200002038,"Acura","acura","Acura_TSX","TSX","tsx",100527369,2010,"Sedan","TSX Sedan","sedan",6,"acura","tsx","2010","https://api.edmunds.com/api/vehicle/v2/acura/tsx/2010/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"38",100668208,"4dr Sedan w/Navigation System (2.4L 4cyl 5A)","Base",200002038,"Acura","acura","Acura_TSX","TSX","tsx",100507159,2006,"Sedan","TSX Sedan","sedan",4,"acura","tsx","2006","https://api.edmunds.com/api/vehicle/v2/acura/tsx/2006/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"39",100668206,"4dr Sedan (2.4L 4cyl 5A)","Base",200002038,"Acura","acura","Acura_TSX","TSX","tsx",100507159,2006,"Sedan","TSX Sedan","sedan",4,"acura","tsx","2006","https://api.edmunds.com/api/vehicle/v2/acura/tsx/2006/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"40",100668209,"4dr Sedan w/Navigation System (2.4L 4cyl 6M)","Base",200002038,"Acura","acura","Acura_TSX","TSX","tsx",100507159,2006,"Sedan","TSX Sedan","sedan",4,"acura","tsx","2006","https://api.edmunds.com/api/vehicle/v2/acura/tsx/2006/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"41",100668207,"4dr Sedan (2.4L 4cyl 6M)","Base",200002038,"Acura","acura","Acura_TSX","TSX","tsx",100507159,2006,"Sedan","TSX Sedan","sedan",4,"acura","tsx","2006","https://api.edmunds.com/api/vehicle/v2/acura/tsx/2006/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
